eco	name	fen	moves	whiteWins	blackWins	draws
D06	Queen's Gambit Refused: Baltic Defense, Queen Attack	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KBNR b KQkq -	d2d4 d7d5 c2c4 c8f5 d1b3	55	35	28
D06	Queen's Gambit Refused: Baltic Defense	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c8f5	1078	660	667
D06	Queen's Gambit Refused: Marshall Defense	rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 g8f6	1632	374	325
D06	Queen's Gambit Refused: Marshall Defense, Tan Gambit	rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 g8f6 c4d5 c7c6	7	0	1
D06	Queen's Gambit Refused: Zilbermints Gambit	rnbqkbnr/p1p1pppp/8/1p1p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 b7b5	1	0	0
D06	Queen's Gambit	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -	d2d4 d7d5 c2c4	102481	59050	88185
D07	Queen's Gambit Refused: Chigorin Defense, Exchange Variation, Costa's Line	r1b1k1nr/ppp2ppp/2n5/3q4/3p4/2B1P3/PP2NPPP/R2QKB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5 e2e3 e7e5 b1c3 f8b4 c1d2 b4c3 d2c3 e5d4 g1e2	137	65	142
D07	Queen's Gambit Refused: Chigorin Defense, Exchange Variation	r1b1kbnr/ppp1pppp/2n5/3q4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5	553	332	429
D07	Queen's Gambit Refused: Chigorin Defense, Janowski Variation	r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3	387	149	191
D07	Queen's Gambit Refused: Chigorin Defense, Lazard Gambit	r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 e7e5	58	50	44
D07	Queen's Gambit Refused: Chigorin Defense, Main Line, Alekhine Variation	r2qkbnr/ppp1pppp/2n5/3p4/Q1PP2b1/5N2/PP2PPPP/RNB1KB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4 d1a4	39	13	16
D07	Queen's Gambit Refused: Chigorin Defense, Main Line	r2qkbnr/ppp1pppp/2n5/3p4/2PP2b1/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4	779	513	472
